Rocket|mission|Agency|date|Location|Remaining date
Atlas V 551|ViaSat-3|United Launch Alliance|31/12/2018|Cape Canaveral, FL, USA|
Atlas V 552|Dream Chaser CRS 2 Flight 2|United Launch Alliance|31/12/2018|Cape Canaveral, FL, USA|
Atlas V 401|JPSS 2 (Joint Polar Satellite System spacecraft No. 2)|United Launch Alliance|31/12/2018|Vandenberg AFB, CA, USA|
Soyuz STB/Fregat|10 x OneWeb (1-10)|Arianespace|14/02/2019|Kourou, French Guiana|
Ariane 5 ECA|UNKNOWN & GEO-KOMPSAT-2B|Arianespace|28/02/2019|Kourou, French Guiana|
Ariane 62|2 x Galileo|Arianespace|28/02/2019|Kourou, French Guiana|
Long March 4C|FengYun-3F|China Aerospace Science and Technology Corporation|28/02/2019|Unknown Location|
PSLV|RISAT-2BR1|Indian Space Research Organization|28/02/2019|Sriharikota, Republic of India|
Proton-M Briz-M|Eutelsat 5 West B & MEV-1|International Launch Services|28/02/2019|Baikonur Cosmodrome, Republic of Kazakhstan|
Soyuz-FG|Progress MS-11 (72P)|Khrunichev State Research and Production Space Center|06/02/2019|Baikonur Cosmodrome, Republic of Kazakhstan|
Proton-M/Blok DM-03|Spektr-RG|Khrunichev State Research and Production Space Center|28/02/2019|Baikonur Cosmodrome, Republic of Kazakhstan|
Falcon 9 Block 5|SpX CRS-17|SpaceX|16/02/2019|Cape Canaveral, FL, USA|
Falcon 9 Block 5|RADARSAT Constellation|SpaceX|17/02/2019|Vandenberg AFB, CA, USA|
Falcon Heavy|STP-2|SpaceX|28/02/2019|Kennedy Space Center, FL, USA|
Falcon 9 Block 5|GPS III-2|SpaceX|28/02/2019|Cape Canaveral, FL, USA|
Falcon 9 Block 5|GPS III-4|SpaceX|01/03/2019|Cape Canaveral, FL, USA|
Atlas V N22|CST-100 Starliner Orbital Flight Test (Uncrewed)|United Launch Alliance|28/02/2019|Cape Canaveral, FL, USA|
Atlas V 551|AFSPC-12|United Launch Alliance|01/03/2019|Cape Canaveral, FL, USA|
Vega|PRISMA|Arianespace|31/01/2019|Kourou, French Guiana|
GSLV Mk III|Chandrayaan-2|Indian Space Research Organization|02/01/2019|Sriharikota, Republic of India|
PSLV XL|Cartosat-3 & NEMO-AM|Indian Space Research Organization|31/01/2019|Sriharikota, Republic of India|
Soyuz 2.1A|Soyuz MS Uncrewed-2|Russian Federal Space Agency (ROSCOSMOS)|31/01/2019|Baikonur Cosmodrome, Republic of Kazakhstan|
Delta IV M+(5,4)|WGS-10|United Launch Alliance|22/01/2019|Cape Canaveral, FL, USA|
Atlas V 411|Solar Orbiter|United Launch Alliance|31/01/2019|Cape Canaveral, FL, USA|
Soyuz STA/Fregat|EarthCARE|Arianespace|31/07/2019|Kourou, French Guiana|
GSLV Mk III|GSAT-20|Indian Space Research Organization|31/07/2019|Sriharikota, Republic of India|
Proton-M/Briz-M|ExoMars 2020 surface platform & rover|Khrunichev State Research and Production Space Center|24/07/2019|Baikonur Cosmodrome, Republic of Kazakhstan|
Zenit-3SLB|Lybid|Land Launch|31/07/2019|Baikonur Cosmodrome, Republic of Kazakhstan|
Soyuz-FG|Soyuz MS-13|Russian Federal Space Agency (ROSCOSMOS)|09/07/2019|Baikonur Cosmodrome, Republic of Kazakhstan|
Atlas V 551|NROL-101|United Launch Alliance|31/07/2019|Cape Canaveral, FL, USA|
Long March 5|China's Mars OLR (orbiter lander rover)|China Aerospace Science and Technology Corporation|30/06/2019|Wenchang Satellite Launch Center, People's Republic of China|
Electron|Unknown|Rocket Lab Ltd|30/06/2019|Wallops Island, Virginia, USA|
Atlas V 551|AEHF-5|United Launch Alliance|30/06/2019|Cape Canaveral, FL, USA|
Atlas V 551|AEHF-6|United Launch Alliance|30/06/2019|Cape Canaveral, FL, USA|
Atlas V 551|STP-3|United Launch Alliance|30/06/2019|Cape Canaveral, FL, USA|
